轮次,ACC
1,0.43199998140335083
2,0.5388000011444092
3,0.5911999940872192
4,0.6114000082015991
5,0.6581999659538269
6,0.6797999739646912
7,0.7139999866485596
8,0.7193999886512756
9,0.7324000000953674
10,0.7559999823570251
11,0.7603999972343445
12,0.7727999687194824
13,0.772599995136261
14,0.7799999713897705
15,0.7895999550819397
16,0.7928000092506409
17,0.7983999848365784
18,0.8119999766349792
19,0.8125999569892883
20,0.8211999535560608
21,0.8208000063896179
22,0.8226000070571899
23,0.8297999501228333
24,0.8271999955177307
25,0.8375999927520752
26,0.8303999900817871
27,0.8203999996185303
28,0.8343999981880188
29,0.8265999555587769
30,0.8385999798774719
31,0.8297999501228333
32,0.84579998254776
33,0.8513999581336975
34,0.8561999797821045
35,0.8587999939918518
36,0.8631999492645264
37,0.8601999878883362
38,0.8567999601364136
39,0.8621999621391296
40,0.8601999878883362
41,0.8611999750137329
42,0.864799976348877
43,0.8601999878883362
44,0.8659999966621399
45,0.8610000014305115
46,0.8585999608039856
47,0.8657999634742737
48,0.8623999953269958
49,0.8643999695777893
50,0.8613999485969543
